path,criticality,total_lines,ai_lines,automation_lines
apps/api/src/modules/accounting/accounting-source-snapshot.postgresql.spec.ts,CROWN_JEWEL,235,235,0
apps/web/lib/runtime-client.ts,STANDARD,231,231,0
docs/ops/ci-container-supply-chain.md,STANDARD,231,231,0
apps/api/src/modules/accounting/work-task-projection.policy.spec.ts,CROWN_JEWEL,230,230,0
apps/api/prisma/migrations/20260816030000_pc_crop_organization_tax_profile/migration.sql,STANDARD,224,224,0
apps/api/src/modules/railway/railway.service.ts,STANDARD,223,223,0
apps/api/src/modules/accounting/accounting-period.policy.spec.ts,CROWN_JEWEL,221,221,0
scripts/ip/build-rospatent-package.mjs,STANDARD,221,221,0
docs/ops/pc-crop-federal-accounting/gap-matrix.md,STANDARD,220,220,0
apps/api/src/modules/accounting/document-transmission.policy.ts,CROWN_JEWEL,218,218,0
scripts/check-ci-postgres-image-authority.mjs,STANDARD,218,218,0
apps/api/src/modules/ledger/ledger.service.ts,CROWN_JEWEL,217,217,0
apps/api/src/modules/accounting/accounting-period.repository.postgresql.spec.ts,CROWN_JEWEL,216,216,0
apps/web/components/v9/timeline/PhaseTimeline.tsx,STANDARD,215,215,0
.github/scripts/tai-gateway-ui-readonly-remediation.py,STANDARD,210,210,0
apps/api/src/modules/auth/regulatory-rule-registry.policy.ts,CROWN_JEWEL,207,207,0
apps/web/lib/workflow-policies.ts,STANDARD,207,207,0
scripts/ip/build-ai-provenance.mjs,STANDARD,207,207,0
types/repo-verify-shims.d.ts,STANDARD,207,207,0
scripts/security/scan-secret-history.mjs,STANDARD,205,205,0
apps/tai/tests/test_qwen_preview_conversion_authority_digests.py,STANDARD,204,204,0
packages/domain-core/src/source-of-truth.ts,CROWN_JEWEL,204,204,0
apps/web/mocks/handlers.ts,STANDARD,203,203,0
scripts/audit-role-contract-consistency.mjs,STANDARD,203,203,0
codeql/insufficient-password-hash-corrected/OpaqueCredentialBarrier.qll,STANDARD,202,202,0
apps/api/src/modules/auth/document-format.policy.spec.ts,CROWN_JEWEL,201,201,0
apps/api/prisma/migrations/20260815190000_pc_crop_job_profile_capabilities/migration.sql,STANDARD,200,200,0
apps/api/src/modules/accounting/document-transmission.policy.spec.ts,CROWN_JEWEL,199,199,0
codeql/insufficient-password-hash-corrected/tests/positive/PositivePasswordFlows.expected,STANDARD,199,199,0
.github/workflows/pc-crop-accounting-acceptance.yml,STANDARD,198,198,0
apps/api/src/modules/auth/accounting-document-issuing.repository.ts,CROWN_JEWEL,195,195,0
packages/domain-core/src/problem-closure-matrix.ts,CROWN_JEWEL,195,195,0
apps/api/prisma/migrations/20260815200000_pc_crop_signing_authority/migration.sql,STANDARD,194,194,0
apps/api/src/modules/ai-insights/ai-assistant-admission.manifest.spec.ts,STANDARD,194,194,0
apps/web/components/v9/layout/CommandPalette.tsx,STANDARD,194,194,0
apps/api/prisma/migrations/20260816010000_pc_crop_accounting_number_counter/migration.sql,STANDARD,193,193,0
docs/ops/pc-crop-federal-accounting/continuation-handoff.md,STANDARD,192,192,0
packages/domain-core/src/document-requirements.ts,CROWN_JEWEL,191,191,0
apps/api/src/modules/accounting/advance.policy.spec.ts,CROWN_JEWEL,190,190,0
apps/api/src/modules/lots/lots.service.spec.ts,STANDARD,190,190,0
apps/web/lib/gekta/billing.ts,CROWN_JEWEL,188,188,0
apps/web/lib/gekta/merchant.ts,CROWN_JEWEL,188,188,0
